1.5625e-009	1.5625e-009	4.6279e-008
4.6875e-009	1.5625e-009	4.2322e-008
7.8125e-009	1.5625e-009	3.9496e-008
1.0937e-008	1.5625e-009	3.6523e-008
1.4062e-008	1.5625e-009	3.2542e-008
1.7187e-008	1.5625e-009	2.8533e-008
2.0312e-008	1.5625e-009	2.4169e-008
2.3437e-008	1.5625e-009	1.9867e-008
2.6562e-008	1.5625e-009	1.5863e-008
2.9687e-008	1.5625e-009	1.2629e-008
3.2812e-008	1.5625e-009	1.0421e-008
3.5937e-008	1.5625e-009	8.5614e-009
3.9062e-008	1.5625e-009	6.076e-009
4.2187e-008	1.5625e-009	4.1802e-009
4.5312e-008	1.5625e-009	3.6943e-009
4.8437e-008	1.5625e-009	3.1764e-009
5.1562e-008	1.5625e-009	3.2397e-009
5.4687e-008	1.5625e-009	3.6241e-009
5.7812e-008	1.5625e-009	4.3351e-009
6.0937e-008	1.5625e-009	7.2679e-009
6.4062e-008	1.5625e-009	1.1013e-008
6.7187e-008	1.5625e-009	1.2899e-008
7.0312e-008	1.5625e-009	1.4364e-008
7.3437e-008	1.5625e-009	1.5914e-008
7.6562e-008	1.5625e-009	1.7947e-008
7.9687e-008	1.5625e-009	2.0165e-008
8.2812e-008	1.5625e-009	2.4068e-008
8.5937e-008	1.5625e-009	3.1722e-008
8.9062e-008	1.5625e-009	3.7275e-008
9.2187e-008	1.5625e-009	3.9267e-008
9.5312e-008	1.5625e-009	3.9916e-008
9.8437e-008	1.5625e-009	3.9267e-008
1.0156e-007	1.5625e-009	3.7872e-008
1.0469e-007	1.5625e-009	3.6684e-008
1.0781e-007	1.5625e-009	3.5837e-008
1.1094e-007	1.5625e-009	3.4512e-008
1.1406e-007	1.5625e-009	3.0628e-008
1.1719e-007	1.5625e-009	2.8988e-008
1.2031e-007	1.5625e-009	3.0446e-008
1.2344e-007	1.5625e-009	2.2873e-008
1.2656e-007	1.5625e-009	-2.8398e-009
1.2969e-007	1.5625e-009	-1.248e-008
1.3281e-007	1.5625e-009	-1.5274e-008
1.3594e-007	1.5625e-009	-1.6139e-008
1.3906e-007	1.5625e-009	-1.7417e-008
1.4219e-007	1.5625e-009	-1.827e-008
1.4531e-007	1.5625e-009	-2.0196e-008
1.4844e-007	1.5625e-009	-2.1826e-008
1.5156e-007	1.5625e-009	-2.3069e-008
1.5469e-007	1.5625e-009	-2.4296e-008
1.5781e-007	1.5625e-009	-2.6122e-008
1.6094e-007	1.5625e-009	-2.3279e-008
1.6406e-007	1.5625e-009	-7.5004e-009
1.6719e-007	1.5625e-009	8.0964e-009
1.7031e-007	1.5625e-009	2.2849e-008
1.7344e-007	1.5625e-009	3.4542e-008
1.7656e-007	1.5625e-009	4.2423e-008
1.7969e-007	1.5625e-009	4.7025e-008
1.8281e-007	1.5625e-009	4.8524e-008
1.8594e-007	1.5625e-009	4.8162e-008
1.8906e-007	1.5625e-009	4.7165e-008
1.9219e-007	1.5625e-009	4.5207e-008
